CV,250
MMA,18
Carga util,9.5
Num ejes,2
Num servicios por veh,4.56
Kilometraje anual,50455
% Kilometraje anual vacio,22.22
Horas anuales trabajadas,1768
Dias de actividad,221
Precio venta sin IVA (Cabeza tractora),57020.04
Precio venta sin IVA (Semirremolque),8196.64
Dto. Medio sobre tarifa (Cabeza tractora),5.82
Dto. Medio sobre tarifa (Semirremolque),5
Valor residual % (Cabeza tractora),10
Valor residual % (Semirremolque),10
Periodo amortizacion (Cabeza tractora),10
Periodo amortizacion (Semirremolque),10
Veh. Cuantia a financiar,70
Periodo a financiar,5
Tipo interes anual,5.8
Seguridad social empresa %,39.4
Retribucion 1 conductor mecanico,24901.95
Plus de asistencia,0
Visado autorizacion de Tte,44
Impuesto Veh. Traccion Mec,283.19
Coste ITV,58.31
Coste IAE,0
Coste revision tacografo,61.68
Coste ATP,0
Coste ADR,0
Seguro solo obligatorio,0
Seguro obligatorio + terceros,2169.17
Seguro todo riesgo,0
Seguro mercancia,322.45
Responsabilidad civil,2178.1
Otros gastos fijos,0
Precio bruto gasoleo,1.31
Descuento medio sobre combustible,3
Consumo medio,27.73
Dieta media,12.96
Num de dias,165
Precio bruto neumaticos,705.57
Descuento medio neumaticos (%),7
Duracion media neumaticos,92273
Num total de neumaticos,6
Mantenimiento y reparacion,0.04
Coste medio Km de autopista,8.3
% servicios que pagan peajes,12.33
Gastos anuales generales,0
