CV,420,
MMA,40,
Carga util,25,
Num ejes,5,
Num servicios por veh,4.56,
Kilometraje anual,57500,
% Kilometraje anual vacio,22.22,
Horas anuales trabajadas,1768,
Dias de actividad,221,
,Cabeza tractora o camion,Semirremolque o carrozado
Precio venta sin IVA,102504.3,34568.38
Dto. Medio sobre tarifa,5.5,5
Valor residual %,20,15
Periodo amortizacion,6,8
,,
Veh. Cuantia a financiar,70,
Periodo a financiar,5,
Tipo interes anual,5.8,
Seguridad social empresa %,39.4,
Retribucion 1 conductor mecanico,24901.95,
Plus de asistencia,0,
Visado autorizacion de Tte,44,
Impuesto Veh. Traccion Mec,398.92,
Coste ITV,116.6,
Coste IAE,0,
Coste revision tacografo,61.68,
Coste ATP,0,
Coste ADR,0,
Seguro solo obligatorio,0,
Seguro obligatorio + terceros,2982.44,
Seguro todo riesgo,0,
Seguro mercancia,664.21,
Responsabilidad civil,2178.1,
Otros gastos fijos,0,
Precio bruto gasoleo,1.31,
Descuento medio sobre combustible,3,
Consumo medio,33.5,
Dieta media,12.96,
Num de dias,165,
Precio bruto neumaticos,705.57,
Descuento medio neumaticos (%),7,
Duracion media neumaticos,103333,
Num total de neumaticos,12,
Mantenimiento y reparacion,0.04,
Coste medio Km de autopista,8.3,
% servicios que pagan peajes,12.33,
Gastos anuales generales,0,
