CV,420,
MMA,40,
Carga util,25,
Num ejes,5,
Num servicios por veh,7.71,
Kilometraje anual,25000,
% Kilometraje anual vacio,14.06,
Horas anuales trabajadas,1768,
Dias de actividad,221,
,Cabeza tractora o camion,Semirremolque o carrozado
Precio venta sin IVA,102505,34568.38
Dto. Medio sobre tarifa,4,4
Valor residual %,20,15
Periodo amortizacion,6,8
,,
Veh. Cuantia a financiar,70,
Periodo a financiar,5,
Tipo interes anual,5.8,
Seguridad social empresa %,39.4,
Retribucion 1 conductor mecanico,24901.95,
Plus de asistencia,0,
Visado autorizacion de Tte,44,
Impuesto Veh. Traccion Mec,398.92,
Coste ITV,116.6,
Coste IAE,0,
Coste revision tacografo,61.68,
Coste ATP,0,
Coste ADR,0,
Seguro solo obligatorio,0,
Seguro obligatorio + terceros,3219.76,
Seguro todo riesgo,0,
Seguro mercancia,780.05,
Responsabilidad civil,2178.1,
Otros gastos fijos,0,
Precio bruto gasoleo,1.31,
Descuento medio sobre combustible,3,
Consumo medio,37.5,
Dieta media,12.96,
Num de dias,165,
Precio bruto neumaticos,705.57,
Descuento medio neumaticos (%),15.88,
Duracion media neumaticos,85000,
Num total de neumaticos,12,
Mantenimiento y reparacion,0.06,
Coste medio Km de autopista,3.4,
% servicios que pagan peajes,5,
Gastos anuales generales,0,
