CV,0,
MMA,3.5,
Carga util,1.5,
Num ejes,2,
Num servicios por veh,5.39,
Kilometraje anual,42895,
% Kilometraje anual vacio,22.29,
Horas anuales trabajadas,1768,
Dias de actividad,221,
,Cabeza tractora o camion,Semirremolque o carrozado
Precio venta sin IVA,28513.65,0
Dto. Medio sobre tarifa,5.7083,0
Valor residual %,15,0
Periodo amortizacion,5,0
,,
Veh. Cuantia a financiar,100,
Periodo a financiar,5,
Tipo interes anual,5.8,
Seguridad social empresa %,39.4,
Retribucion 1 conductor mecanico,24901.95,
Plus de asistencia,0,
Visado autorizacion de Tte,44,
Impuesto Veh. Traccion Mec,194.09,
Coste ITV,42.33,
Coste IAE,0,
Coste revision tacografo,0,
Coste ATP,0,
Coste ADR,0,
Seguro solo obligatorio,0,
Seguro obligatorio + terceros,2249.97,
Seguro todo riesgo,0,
Seguro mercancia,97.58,
Responsabilidad civil,2178.1,
Otros gastos fijos,0,
Precio bruto gasoleo,1.31,
Descuento medio sobre combustible,3,
Consumo medio,18.13,
Dieta media,12.96,
Num de dias,165,
Precio bruto neumaticos,159.39,
Descuento medio neumaticos (%),8.58,
Duracion media neumaticos,89000,
Num total de neumaticos,4,
Mantenimiento y reparacion,0.04,
Coste medio Km de autopista,3.4,
% servicios que pagan peajes,5,
Gastos anuales generales,0,
