CV,325,
MMA,26,
Carga util,16,
Num ejes,3,
Num servicios por veh,4.5,
Kilometraje anual,25000,
% Kilometraje anual vacio,14.75,
Horas anuales trabajadas,1768,
Dias de actividad,221,
,Cabeza tractora o camion,Semirremolque o carrozado
Precio venta sin IVA,77691,32095.33
Dto. Medio sobre tarifa,17.5,17.5
Valor residual %,15,15
Periodo amortizacion,10,10
,,
Veh. Cuantia a financiar,70,
Periodo a financiar,5,
Tipo interes anual,5.8,
Seguridad social empresa %,39.4,
Retribucion 1 conductor mecanico,24901.95,
Plus de asistencia,0,
Visado autorizacion de Tte,44,
Impuesto Veh. Traccion Mec,364.25,
Coste ITV,58.31,
Coste IAE,0,
Coste revision tacografo,61.68,
Coste ATP,0,
Coste ADR,0,
Seguro solo obligatorio,0,
Seguro obligatorio + terceros,1762.52,
Seguro todo riesgo,0,
Seguro mercancia,336.15,
Responsabilidad civil,2178.1,
Otros gastos fijos,0,
Precio bruto gasoleo,1.31,
Descuento medio sobre combustible,3,
Consumo medio,23.5,
Dieta media,12.96,
Num de dias,165,
Precio bruto neumaticos,705.57,
Descuento medio neumaticos (%),12.75,
Duracion media neumaticos,105000,
Num total de neumaticos,8,
Mantenimiento y reparacion,0.06,
Coste medio Km de autopista,3.4,
% servicios que pagan peajes,10,
Gastos anuales generales,0,
