CV,250,
MMA,18,
Carga util,9.5,
Num ejes,2,
Num servicios por veh,5.25,
Kilometraje anual,55000,
% Kilometraje anual vacio,25,
Horas anuales trabajadas,1768,
Dias de actividad,221,
,Cabeza tractora o camion,Semirremolque o carrozado
Precio venta sin IVA,57020.04,38514.39
Dto. Medio sobre tarifa,4,4
Valor residual %,20,20
Periodo amortizacion,10,12
,,
Veh. Cuantia a financiar,70,
Periodo a financiar,5,
Tipo interes anual,5.8,
Seguridad social empresa %,39.4,
Retribucion 1 conductor mecanico,24901.95,
Plus de asistencia,0,
Visado autorizacion de Tte,44,
Impuesto Veh. Traccion Mec,283.19,
Coste ITV,58.31,
Coste IAE,0,
Coste revision tacografo,61.68,
Coste ATP,0,
Coste ADR,0,
Seguro solo obligatorio,0,
Seguro obligatorio + terceros,4068.72,
Seguro todo riesgo,0,
Seguro mercancia,336.15,
Responsabilidad civil,2178.1,
Otros gastos fijos,0,
Precio bruto gasoleo,1.31,
Descuento medio sobre combustible,3,
Consumo medio,28,
Dieta media,12.96,
Num de dias,165,
Precio bruto neumaticos,531.3,
Descuento medio neumaticos (%),3,
Duracion media neumaticos,90000,
Num total de neumaticos,6,
Mantenimiento y reparacion,0.06,
Coste medio Km de autopista,3.4,
% servicios que pagan peajes,5,
Gastos anuales generales,0,
