CV,400,
MMA,40,
Carga util,0,
Num ejes,5,
Num servicios por veh,4.5,
Kilometraje anual,65000,
% Kilometraje anual vacio,25,
Horas anuales trabajadas,1768,
Dias de actividad,221,
,Cabeza tractora o camion,Semirremolque o carrozado
Precio venta sin IVA,101636,69493.17
Dto. Medio sobre tarifa,10,10
Valor residual %,20,20
Periodo amortizacion,6,6
,,
Veh. Cuantia a financiar,70,
Periodo a financiar,5,
Tipo interes anual,5.8,
Seguridad social empresa %,39.4,
Retribucion 1 conductor mecanico,24901.95,
Plus de asistencia,0,
Visado autorizacion de Tte,44,
Impuesto Veh. Traccion Mec,398.92,
Coste ITV,116.6,
Coste IAE,0,
Coste revision tacografo,61.68,
Coste ATP,0,
Coste ADR,138.49,
Seguro solo obligatorio,0,
Seguro obligatorio + terceros,2981.93,
Seguro todo riesgo,0,
Seguro mercancia,588.94,
Responsabilidad civil,2178.1,
Otros gastos fijos,0,
Precio bruto gasoleo,1.31,
Descuento medio sobre combustible,3,
Consumo medio,32.5,
Dieta media,12.96,
Num de dias,165,
Precio bruto neumaticos,641.79,
Descuento medio neumaticos (%),30.5,
Duracion media neumaticos,115000,
Num total de neumaticos,12,
Mantenimiento y reparacion,0.03,
Coste medio Km de autopista,3.4,
% servicios que pagan peajes,35,
Gastos anuales generales,0,
