CV,420,
MMA,40,
Carga util,24,
Num ejes,5,
Num servicios por veh,0,
Kilometraje anual,0,
% Kilometraje anual vacio,17.31,
Horas anuales trabajadas,1768,
Dias de actividad,0,
,Cabeza tractora o camion,Semirremolque o carrozado
Precio venta sin IVA,102504.3,71275.05
Dto. Medio sobre tarifa,10,10
Valor residual %,20,15
Periodo amortizacion,6,10
,,
Veh. Cuantia a financiar,70,
Periodo a financiar,5,
Tipo interes anual,5.8,
Seguridad social empresa %,39.4,
Retribucion 1 conductor mecanico,24901.95,
Plus de asistencia,0,
Visado autorizacion de Tte,44,
Impuesto Veh. Traccion Mec,398.92,
Coste ITV,116.6,
Coste IAE,0,
Coste revision tacografo,61.68,
Coste ATP,72.43,
Coste ADR,0,
Seguro solo obligatorio,0,
Seguro obligatorio + terceros,2642.49,
Seguro todo riesgo,0,
Seguro mercancia,680.84,
Responsabilidad civil,2178.1,
Otros gastos fijos,0,
Precio bruto gasoleo,1.31,
Descuento medio sobre combustible,3,
Consumo medio,38.5,
Dieta media,12.96,
Num de dias,165,
Precio bruto neumaticos,705.57,
Descuento medio neumaticos (%),11,
Duracion media neumaticos,135000,
Num total de neumaticos,12,
Mantenimiento y reparacion,0.06,
Coste medio Km de autopista,3.4,
% servicios que pagan peajes,5,
Gastos anuales generales,0,
