CV,420,
MMA,38,
Carga util,23,
Num ejes,4,
Num servicios por veh,5.23,
Kilometraje anual,57222,
% Kilometraje anual vacio,25,
Horas anuales trabajadas,1768,
Dias de actividad,221,
,Cabeza tractora o camion,Semirremolque o carrozado
Precio venta sin IVA,102505,42765.04
Dto. Medio sobre tarifa,5.83,5.5
Valor residual %,20,15
Periodo amortizacion,10,12
,,
Veh. Cuantia a financiar,70,
Periodo a financiar,5,
Tipo interes anual,5.8,
Seguridad social empresa %,39.4,
Retribucion 1 conductor mecanico,24901.95,
Plus de asistencia,0,
Visado autorizacion de Tte,44,
Impuesto Veh. Traccion Mec,398.92,
Coste ITV,116.6,
Coste IAE,0,
Coste revision tacografo,60.43,
Coste ATP,0,
Coste ADR,0,
Seguro solo obligatorio,0,
Seguro obligatorio + terceros,3411.14,
Seguro todo riesgo,0,
Seguro mercancia,627.17,
Responsabilidad civil,2178.1,
Otros gastos fijos,0,
Precio bruto gasoleo,1.31,
Descuento medio sobre combustible,3,
Consumo medio,38.61,
Dieta media,12.96,
Num de dias,165,
Precio bruto neumaticos,705.57,
Descuento medio neumaticos (%),8.71,
Duracion media neumaticos,75000,
Num total de neumaticos,14,
Mantenimiento y reparacion,0.04,
Coste medio Km de autopista,3.9,
% servicios que pagan peajes,11.67,
Gastos anuales generales,0,
