;Menos de 22;De 22 a 35;De 36 a 55;Mas de 55;;;;;;;;;;;;;
Salario anual conductor;35812;35812;35812;35812;;;;;;;;;;;;;
Hora trabajo anuales;1165;1165;1165;1165;;;;;;;;;;;;;
Costes generales (%);0,00;0,00;0,00;0,00;;;;;;;;;;;;;
Kilometros recorridos por vehiculo;42389;43507;64894;62416;;;;;;;;;;;;;
Coste adquisicion vehiculo;79357,63;155392,61;226190,62;256170,47;;;;;;;;;;;;;
Vida util del vehiculo ;10;10;10;10;;;;;;;;;;;;;
Coste de la financiacion del vehículo (TAE %);1,319;1,319;1,319;1,319;;;;;;;;;;;;;
Plazo financiación;5,00;5,00;5,00;5,00;;;;;;;;;;;;;
Coste anual mantenimiento;5087;5656;10383;15604;;;;;;;;;;;;;
Coste combustible (€/L);1,06;1,06;1,06;1,06;;;;;;;;;;;;;
Coste anual seguro;3367;3949;4905;6373;;;;;;;;;;;;;
Coste cada neumático;434;434;434;434;;;;;;;;;;;;;14,28571429
Vida util de cada neumatico (Km);90000;90000;90000;90000;;;;;;;;;;;;;
Numero de neumáticos;6,00;8,00;8,00;8,00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
