,Menos de 22,De 22 a 35,De 36 a 55,Mas de 55
Salario anual conductor,35812,35812,35812,35812
Hora trabajo anuales,1165,1165,1165,1165
Costes generales (%),0,0,0,0
Kilometros recorridos por vehiculo,42389,43507,64894,62416
Coste adquisicion vehiculo,65879.88,117993.82,179232.22,216322
Vida util del vehiculo ,10,10,10,10
Coste de la financiacion del vehiculo (TAE %),1.319,1.319,1.319,1.319
Plazo financiacion,5,5,5,5
Coste anual mantenimiento,5087,5656,10383,15604
Consumo medio (L),18,23,29,38
Coste combustible (€/L),1.06,1.06,1.06,1.06
Coste anual seguro,3367,3949,4905,6373
Coste cada neumatico,434,434,434,434
Vida util de cada neumatico (Km),90000,90000,90000,90000
Numero de neumaticos,6,8,8,8
